timestamp,frame_number,left_eye_x,left_eye_y,right_eye_x,right_eye_y,gaze_direction
1781820731.254066,133,750,404,640,398,Center
1781820731.28794,134,750,404,640,398,Center
1781820731.320718,135,750,404,640,398,Center
1781820731.352693,136,751,404,641,398,Center
1781820731.3846679,137,751,404,641,397,Center
1781820731.418729,138,751,404,641,398,Center
1781820731.452257,139,751,404,641,398,Center
1781820731.4867709,140,751,405,641,399,Center
1781820731.5202072,141,750,405,641,399,Center
1781820731.55374,142,751,405,641,399,Center
1781820731.58902,143,750,405,641,399,Center
1781820731.623227,144,751,405,641,399,Center
1781820731.656441,145,751,405,641,399,Center
1781820731.684839,146,751,405,641,399,Center
1781820731.721191,147,750,405,641,399,Center
1781820731.7519329,148,750,405,641,399,Center
1781820731.788073,149,750,404,640,398,Center
1781820731.824018,150,750,404,640,398,Center
1781820731.8527539,151,750,404,640,399,Center
1781820731.887124,152,750,404,640,399,Center
1781820731.9211571,153,750,404,640,398,Center
1781820731.955616,154,749,403,640,398,Center
1781820731.988197,155,749,403,639,397,Center
1781820732.021538,156,749,403,639,397,Center
1781820732.054971,157,749,403,639,397,Center
1781820732.086826,158,749,403,639,397,Center
1781820732.120356,159,749,403,639,397,Center
1781820732.1536949,160,749,403,639,397,Center
1781820732.1879418,161,749,403,639,397,Center
1781820732.2199318,162,749,403,639,398,Center
1781820732.253919,163,749,403,640,397,Center
1781820732.287578,164,749,404,640,398,Center
1781820732.3207738,165,749,404,640,399,Center
1781820732.354034,166,750,405,640,399,Center
1781820732.387145,167,750,404,640,399,Center
1781820732.4209962,168,749,404,640,398,Center
1781820732.45329,169,749,404,640,398,Center
1781820732.486742,170,749,404,640,398,Center
1781820732.520292,171,749,404,640,398,Center
1781820732.553771,172,749,404,640,398,Center
1781820732.586808,173,749,404,640,398,Center
1781820732.62082,174,749,404,640,398,Center
1781820732.65512,175,749,403,639,398,Center
1781820732.686801,176,749,403,639,397,Center
1781820732.720651,177,749,403,639,397,Center
1781820732.755121,178,748,402,639,396,Center
1781820732.7881,179,748,402,638,396,Center
1781820732.81735,180,748,402,638,396,Center
1781820732.8551738,181,748,402,638,396,Center
